Ticker,Close_2020,Volatility_2020_%,Avg_Volume_2020,Return_2020_%,Momentum_6M_%,RSI_2020,Distance_from_MA_%,ROE_%,Operating_Margin_%,Debt_to_Equity,Revenue_Growth_%,Market_Cap_2020,Sector,Basic_Qualified,Composite_Score
DVN,12.455527305603027,96.84462561788055,9977562.301587302,-33.52618893378193,49.53041930356197,54.34084252901355,24.268871903291593,18.586999000000002,24.194999,0.56274,7.1,23167025152,Energy,True,84.24271014829134
FANG,39.88816833496094,103.54750305134036,3565738.888888889,-44.90521897612151,20.96015332691078,55.11063964268806,28.149442455574764,10.901,36.628,0.3566,42.0,43634241536,Energy,True,82.235462063086
RCL,72.4764175415039,113.88495997368533,12539242.063492063,-44.684696278008104,48.95978885144538,29.87859354516489,3.9320765407189353,46.677,33.139,2.03878,5.2,76062375936,Consumer Cyclical,True,81.91630593426264
HAL,17.47292709350586,93.35823942667358,19246465.476190478,-20.988951031990826,52.93536581691038,46.38220526000099,17.400282578426364,12.788,12.857,0.83613,-1.7000000000000002,28012242944,Energy,True,80.40597746240165
HIG,43.22514724731445,65.21133687887294,2782725.0,-18.98478714333975,29.76902212502485,52.850574547796626,8.505053612860786,20.069,18.916,0.23696,7.000000000000001,36435533824,Financial Services,True,79.55832970093945
LRCX,45.87199401855469,63.61085914011824,18946186.507936507,65.31083450705654,50.62537045489732,42.80020062748659,11.214778421044121,62.261003,34.354,0.43991,27.700000000000003,274463670272,Technology,True,79.26660619362838
CCL,21.790000915527344,121.28319599271215,45605743.65079365,-57.03699480588599,37.216629461557766,43.818684521683906,18.017272028806055,25.632998,11.5959994,2.27882,6.6000000000000005,38779027456,Consumer Cyclical,True,78.99461882287403
FCX,24.829927444458008,71.95272107375934,23312412.698412698,101.73038611637296,130.695624937145,67.1074229835769,21.945630235503234,14.538999,28.055000000000003,0.30589,2.7,86392766464,Basic Materials,True,78.26865305770224
NVDA,13.108885765075684,58.0179483103059,481999825.3968254,119.53973944788699,36.841731678701755,57.39341941866095,-1.0392562647513017,107.35900000000001,63.168997000000005,0.09102,62.5,4541689364480,Technology,True,77.92430759447342
MU,70.17210388183594,57.48499956074456,22688590.873015873,29.84289424244837,44.330700283997736,52.65896250683891,14.662131542511311,22.554001,44.974998,0.21244,56.699999999999996,379136540672,Technology,True,77.7963998945787
BKR,18.665393829345703,70.56693799711988,7070692.857142857,-13.617186663490072,40.741760256803,31.188093581394455,13.795782866856744,16.89,13.524,0.33042,1.5,51292508160,Energy,True,77.23276922202997
DECK,47.66666793823242,58.3421370030722,2618459.523809524,66.11489264741189,47.27084946034805,39.13967974201342,5.784178160936464,43.312,22.82,0.1422,9.1,15359471616,Consumer Cyclical,True,76.91045266487654
NOW,109.47599792480469,50.0578720951457,9221531.746031746,87.9480769467543,32.15035143269179,58.54410772463841,4.745121599324154,16.813,16.789,0.21255,21.8,138054909952,Technology,True,76.01388930283497
AMAT,83.29596710205078,59.090758887384865,8300647.222222222,41.725679716423215,43.48839927996686,46.18866986063789,13.503168515056904,35.508,28.441,0.34533,-3.5000000000000004,254949474304,Technology,True,75.57714184495912
DHI,66.7187271118164,59.49993437554985,4070794.0476190476,34.99629935426067,30.38658208867211,51.106341990976226,-2.2763061240996745,14.321,12.4680005,0.24514,-3.2,47135649792,Consumer Cyclical,True,75.27998425013196
TSLA,231.5933380126953,89.63807916108536,226229315.47619048,707.3955441692112,187.41748278074414,66.85330343317557,31.579947303004847,6.7909999999999995,6.628,0.17082,11.600000000000001,1457540300800,Consumer Cyclical,True,75.01313899866048
FITB,22.662879943847656,73.77316131767918,6857104.365079365,-7.264731360324765,50.27517008893418,48.138621468332396,6.768341140907422,11.5109995,39.780998000000004,,6.7,32421183488,Financial Services,True,74.205558716243
SCHW,49.099456787109375,53.45463670742993,11511975.793650793,10.65957212114949,58.41048090721005,64.4859979056954,11.588410838888022,17.046,49.242002,0.99789,26.6,185905692672,Financial Services,True,73.82911280978318
RF,13.038071632385254,70.69338637252926,10868656.349206349,-2.3755221603648478,53.75892837360626,51.06378407234831,7.203240322566597,11.401,46.976003,,15.6,25509132288,Financial Services,True,73.46641272940703
ETN,109.93547058105469,51.84255263169864,2341219.8412698414,27.423024688093754,37.11394346717112,54.55725292156985,4.300056834868251,20.653,19.791001,0.59661,10.100000000000001,129671938048,Industrials,True,73.44221263160767
GE,52.18102264404297,63.09421577325687,19695763.726190478,-9.770749847231649,57.44238089707893,33.501139502415995,12.181932753719572,42.131,20.598,1.15246,23.799999999999997,339181535232,Industrials,True,73.14261178558165
DIS,177.00172424316406,49.15192926402388,14657105.952380951,22.24696321289041,61.49938731090712,76.45426084312348,22.661802885848505,12.203,11.867999999999999,0.39632,-0.5,204353159168,Communication Services,True,72.79646302336573
JPM,109.60600280761719,54.53485105203566,19272229.365079366,-7.9222919176039035,36.54572981595957,61.64238454303958,9.476877189696161,16.134001,41.854,,2.5,842485727232,Financial Services,True,72.58836425248856
SLB,19.654388427734375,77.74490511265263,15750776.587301588,-43.64228270478715,23.23722432566298,36.178029549470054,11.89624716777474,15.182,15.479000000000001,0.47459,-2.5,69852577792,Energy,True,71.95366695730183
EW,89.63999938964844,44.36265887997046,3446259.523809524,15.664515341481856,29.556288808575093,65.05550865743697,8.127146693256513,13.492,27.371000000000002,0.06862,14.7,49404469248,Healthcare,True,71.46955365462296
