Category,Segment,count,win_rate,avg_return,median_return,avg_win,avg_loss,best_trade,worst_trade,win_loss_ratio
Overall,All,105,32.38095238095238,0.20303213479558846,-4.9999999999999964,10.84085982757268,-4.891138873013159,29.577771882482455,-8.499999999999995,2.216428547426262
Quality,GOOD,44,40.909090909090914,2.1162344181179416,-4.9999999999999964,12.140314658685348,-4.823513440736417,29.577771882482455,-8.499999999999995,2.5169028360438976
Quality,EXCELLENT,61,26.229508196721312,-1.1769826269451256,-5.0,9.378973142570928,-4.930211344995278,16.34773173450101,-7.000000000000014,1.9023470772894242
Vol R:R,<2:1,32,37.5,-1.1490268023335894,-5.0,5.4359285271104385,-5.100000000000007,9.304314831180594,-7.000000000000014,1.0658683386491041
Vol R:R,2-3:1,40,27.500000000000004,-0.3906718090756641,-5.0,12.111905633820932,-5.133028770174372,13.422838848893226,-8.499999999999995,2.359602132798777
Vol R:R,3+:1,33,33.33333333333333,2.233760733067825,-4.9999999999999964,15.466102712737785,-4.382410256767155,29.577771882482455,-7.000000000000008,3.529131643678408
Rank,Top 5,68,23.52941176470588,-0.5253710983250455,-5.0,13.511736935173403,-4.844481262478414,29.577771882482455,-8.499999999999995,2.7890988122556717
Rank,6-10,33,45.45454545454545,1.3553412633331883,-4.9999999999999964,9.005606401670134,-5.019879685280935,13.374805598755831,-7.000000000000014,1.7939884949983897
Rank,11+,4,75.0,3.079336787411167,4.938902281238279,5.772449049881556,-5.0,7.439542587168109,-5.0,1.1544898099763112
