ticker,signal,current_price,price_note,date,d20,d50,d100,d200,w10,w20,w200,daily_poc,daily_vah,daily_val,weekly_poc,weekly_vah,weekly_val,s1,s2,s3,r1,r2,r3,notes
META,HOLD MOST → REDUCE,650.41,last close,2026-01-04,658.59,651.82,698.45,672.61,640.47,687.46,412.69,660.77,676.77,602.11,709.65,750.78,586.28,580.78,578.18,546.88,795.06,789.62,758.54,
MSTR,CASH,157.16,last close,2026-01-04,167.75,202.4,267.75,320.2,179.39,246.61,143.05,181.47,235.59,153.48,318.86,389.58,235.84,155.61,120.23,113.69,543.0,457.22,430.35,
PLTR,FULL HOLD + ADD,167.86,last close,2026-01-04,184.55,180.94,176.47,151.04,179.1,175.11,50.58,181.74,193.13,169.15,87.9,161.4,69.16,147.56,142.34,128.51,207.52,190.0,188.2,
NVDA,FULL HOLD + ADD,188.85,last close,2026-01-04,182.96,186.5,183.02,160.48,183.82,183.47,82.97,182.76,193.42,175.51,115.49,177.02,86.6,176.75,169.54,164.05,212.18,,,
TSLA,FULL HOLD + ADD,438.07,last close,2026-01-04,464.27,445.01,418.45,360.2,442.77,425.53,265.41,439.64,461.69,403.67,330.93,396.38,219.94,411.45,382.78,373.04,488.54,474.07,470.75,
MSFT,HOLD MOST → REDUCE,472.94,last close,2026-01-04,483.17,495.21,503.04,476.73,485.44,498.75,366.63,485.08,510.54,466.65,509.29,553.5,410.33,464.89,407.71,404.37,553.5,552.69,530.04,
AMD,HOLD,223.47,last close,2026-01-04,214.41,227.63,203.23,163.23,219.71,206.46,126.82,234.32,248.15,210.3,162.25,251.83,129.85,194.28,161.81,153.34,267.08,227.3,,
ASML,FULL HOLD + ADD,1163.78,last close,2026-01-04,1083.21,1056.14,965.47,843.33,1063.95,998.17,723.71,1031.75,1077.16,967.22,735.85,945.33,574.25,988.4,946.11,933.75,,,,
ALAB,HOLD MOST → REDUCE,179.56,last close,2026-01-04,162.4,160.76,179.74,134.57,161.72,178.69,,167.89,176.77,141.28,165.8,245.64,107.54,148.51,131.42,84.78,262.9,201.86,199.47,
AVGO,HOLD,347.62,last close,2026-01-04,360.65,361.22,344.91,288.92,359.56,350.01,143.54,342.2,371.03,330.11,344.68,413.82,220.24,328.43,323.43,280.85,413.82,385.74,372.88,
MRVL,FULL HOLD + ADD,89.39,last close,2026-01-04,87.76,87.6,82.36,74.35,87.82,84.01,65.0,89.07,94.02,81.78,73.43,93.47,58.19,79.06,73.62,69.71,127.15,125.76,102.77,
BTC-USD,HOLD MOST → REDUCE,91440.38,last close,2026-01-04,88100.34,89217.71,99925.06,106703.5,93321.44,103536.8,57068.03,90028.77,95114.77,84942.76,107046.36,119986.7,92035.55,91242.89,89260.1,84436.31,126198.07,124457.12,123091.61,
SOL-USD,CASH,134.29,last close,2026-01-04,125.65,131.22,160.48,172.89,140.09,175.79,103.41,133.06,143.38,122.75,185.57,223.15,132.18,133.55,126.83,122.44,294.33,263.83,253.21,
[Main AI Basket],FULL HOLD + ADD,400.31,market cap weighted,2026-01-04,402.86,403.33,403.87,371.65,397.88,403.33,255.42,,,,,,,,,,,,,"Constituents: TSLA FULL HOLD + ADD, NVDA FULL HOLD + ADD, MSFT HOLD MOST → REDUCE, META HOLD MOST → REDUCE, PLTR FULL HOLD + ADD, ASML FULL HOLD + ADD"
[Lower Risk AI Basket],HOLD,314.51,market cap weighted,2026-01-04,322.78,325.47,308.68,257.34,322.84,313.25,137.73,,,,,,,,,,,,,"Constituents: AMD HOLD, AVGO HOLD, ALAB HOLD MOST → REDUCE, MRVL FULL HOLD + ADD"
